date,region,margin
03/09/2020,North Carolina,0
03/09/2020,Pennsylvania,0
03/09/2020,Wisconsin,0
03/09/2020,Georgia,1
03/09/2020,Texas,1
03/09/2020,Iowa,5
03/09/2020,Maine 2nd CD,5
03/09/2020,Ohio,5
03/09/2020,Alabama,15
03/09/2020,Alaska,15
03/09/2020,Arkansas,15
03/09/2020,Idaho,15
03/09/2020,Indiana,15
03/09/2020,Kansas,15
03/09/2020,Kentucky,15
03/09/2020,Louisiana,15
03/09/2020,Mississippi,15
03/09/2020,Missouri,15
03/09/2020,Montana,15
03/09/2020,Nebraska,15
03/09/2020,Nebraska 1st CD,15
03/09/2020,Nebraska 3rd CD,15
03/09/2020,North Dakota,15
03/09/2020,Oklahoma,15
03/09/2020,South Carolina,15
03/09/2020,South Dakota,15
03/09/2020,Tennessee,15
03/09/2020,Utah,15
03/09/2020,West Virginia,15
03/09/2020,Wyoming,15
06/19/2020,California,-15
06/19/2020,Connecticut,-15
06/19/2020,Delaware,-15
06/19/2020,Washington DC,-15
06/19/2020,Hawaii,-15
06/19/2020,Illinois,-15
06/19/2020,Maine 1st CD,-15
06/19/2020,Maryland,-15
06/19/2020,Massachusetts,-15
06/19/2020,New Jersey,-15
06/19/2020,New Mexico,-15
06/19/2020,New York,-15
06/19/2020,Oregon,-15
06/19/2020,Rhode Island,-15
06/19/2020,Vermont,-15
06/19/2020,Washington,-15
06/19/2020,Colorado,-5
06/19/2020,Virginia,-5
06/19/2020,Nevada,-5
06/19/2020,Maine,-1
06/19/2020,Michigan,-1
06/19/2020,Minnesota,-1
06/19/2020,New Hampshire,-1
06/19/2020,Arizona,0
06/19/2020,Florida,0
06/19/2020,Nebraska 2nd CD,0
06/19/2020,North Carolina,0
06/19/2020,Pennsylvania,0
06/19/2020,Wisconsin,0
06/19/2020,Georgia,1
06/19/2020,Iowa,1
06/19/2020,Ohio,1
06/19/2020,Texas,1
06/19/2020,Maine 2nd CD,5
06/19/2020,Alabama,15
06/19/2020,Alaska,15
06/19/2020,Arkansas,15
06/19/2020,Idaho,15
06/19/2020,Indiana,15
06/19/2020,Kansas,15
06/19/2020,Kentucky,15
06/19/2020,Louisiana,15
06/19/2020,Mississippi,15
06/19/2020,Missouri,15
06/19/2020,Montana,15
06/19/2020,Nebraska,15
06/19/2020,Nebraska 1st CD,15
06/19/2020,Nebraska 3rd CD,15
06/19/2020,North Dakota,15
06/19/2020,Oklahoma,15
06/19/2020,South Carolina,15
06/19/2020,South Dakota,15
06/19/2020,Tennessee,15
06/19/2020,Utah,15
06/19/2020,West Virginia,15
06/19/2020,Wyoming,15
07/14/2020,California,-15
07/14/2020,Connecticut,-15
07/14/2020,Delaware,-15
07/14/2020,Washington DC,-15
07/14/2020,Hawaii,-15
07/14/2020,Illinois,-15
07/14/2020,Maine 1st CD,-15
07/14/2020,Maryland,-15
07/14/2020,Massachusetts,-15
07/14/2020,New Jersey,-15
07/14/2020,New Mexico,-15
07/14/2020,New York,-15
07/14/2020,Oregon,-15
07/14/2020,Rhode Island,-15
07/14/2020,Vermont,-15
07/14/2020,Washington,-15
07/14/2020,Colorado,-5
07/14/2020,Maine,-5
07/14/2020,Nevada,-5
07/14/2020,Virginia,-5
07/14/2020,Michigan,-1
07/14/2020,Minnesota,-1
07/14/2020,Nebraska 2nd CD,-1
07/14/2020,New Hampshire,-1
07/14/2020,Pennsylvania,-1
07/14/2020,Wisconsin,-1
07/14/2020,Arizona,0
07/14/2020,Florida,0
07/14/2020,Georgia,0
07/14/2020,Maine 2nd CD,0
07/14/2020,North Carolina,0
07/14/2020,Iowa,1
07/14/2020,Ohio,1
07/14/2020,Texas,1
07/14/2020,Alaska,5
07/14/2020,Montana,5
07/14/2020,South Carolina,5
07/14/2020,Utah,5
07/14/2020,Alabama,15
07/14/2020,Arkansas,15
07/14/2020,Idaho,15
07/14/2020,Indiana,15
07/14/2020,Kansas,15
07/14/2020,Kentucky,15
07/14/2020,Louisiana,15
07/14/2020,Mississippi,15
07/14/2020,Missouri,15
07/14/2020,Nebraska,15
07/14/2020,Nebraska 1st CD,15
07/14/2020,Nebraska 3rd CD,15
07/14/2020,North Dakota,15
07/14/2020,Oklahoma,15
07/14/2020,South Dakota,15
07/14/2020,Tennessee,15
07/14/2020,West Virginia,15
07/14/2020,Wyoming,15
07/23/2020,California,-15
07/23/2020,Connecticut,-15
07/23/2020,Delaware,-15
07/23/2020,Washington DC,-15
07/23/2020,Hawaii,-15
07/23/2020,Illinois,-15
07/23/2020,Maine 1st CD,-15
07/23/2020,Maryland,-15
07/23/2020,Massachusetts,-15
07/23/2020,New Jersey,-15
07/23/2020,New Mexico,-15
07/23/2020,New York,-15
07/23/2020,Oregon,-15
07/23/2020,Rhode Island,-15
07/23/2020,Vermont,-15
07/23/2020,Washington,-15
07/23/2020,Colorado,-5
07/23/2020,Maine,-5
07/23/2020,Nevada,-5
07/23/2020,Virginia,-5
07/23/2020,Florida,-1
07/23/2020,Michigan,-1
07/23/2020,Minnesota,-1
07/23/2020,Nebraska 2nd CD,-1
07/23/2020,New Hampshire,-1
07/23/2020,Pennsylvania,-1
07/23/2020,Wisconsin,-1
07/23/2020,Arizona,0
07/23/2020,Georgia,0
07/23/2020,Maine 2nd CD,0
07/23/2020,North Carolina,0
07/23/2020,Iowa,1
07/23/2020,Ohio,1
07/23/2020,Texas,1
07/23/2020,Alaska,5
07/23/2020,Indiana,5
07/23/2020,Kansas,5
07/23/2020,Missouri,5
07/23/2020,Montana,5
07/23/2020,South Carolina,5
07/23/2020,Utah,5
07/23/2020,Alabama,15
07/23/2020,Arkansas,15
07/23/2020,Idaho,15
07/23/2020,Kentucky,15
07/23/2020,Louisiana,15
07/23/2020,Mississippi,15
07/23/2020,Nebraska,15
07/23/2020,Nebraska 1st CD,15
07/23/2020,Nebraska 3rd CD,15
07/23/2020,North Dakota,15
07/23/2020,Oklahoma,15
07/23/2020,South Dakota,15
07/23/2020,Tennessee,15
07/23/2020,West Virginia,15
07/23/2020,Wyoming,15
09/17/2020,California,-15
09/17/2020,Connecticut,-15
09/17/2020,Delaware,-15
09/17/2020,Washington DC,-15
09/17/2020,Hawaii,-15
09/17/2020,Illinois,-15
09/17/2020,Maine 1st CD,-15
09/17/2020,Maryland,-15
09/17/2020,Massachusetts,-15
09/17/2020,New Jersey,-15
09/17/2020,New Mexico,-15
09/17/2020,New York,-15
09/17/2020,Oregon,-15
09/17/2020,Rhode Island,-15
09/17/2020,Vermont,-15
09/17/2020,Washington,-15
09/17/2020,Colorado,-5
09/17/2020,Maine,-5
09/17/2020,Virginia,-5
09/17/2020,Arizona,-1
09/17/2020,Michigan,-1
09/17/2020,Minnesota,-1
09/17/2020,Nebraska 2nd CD,-1
09/17/2020,Nevada,-1
09/17/2020,New Hampshire,-1
09/17/2020,Pennsylvania,-1
09/17/2020,Wisconsin,-1
09/17/2020,Florida,0
09/17/2020,Georgia,0
09/17/2020,Maine 2nd CD,0
