year,state_po,district,candidate,party,voteshare
1976,ME,2,Kaye,independent,3.236209
1976,MD,1,Bauman,republican,54.067031
1976,MD,1,Dyson,democrat,45.932969
1976,MD,2,Long,democrat,70.908748
1976,MD,2,Seney,republican,17.961009
1976,MD,2,Meroney,independent,11.130243
1976,MD,3,Mikulski,democrat,74.594489
1976,MD,3,Culotta,republican,25.405511
1976,MD,4,Holt,republican,57.666972
1976,MD,4,Fornos,democrat,42.333028
1976,MD,5,Burcham,republican,42.297970
1976,MD,5,Spellman,democrat,57.702030
1976,MD,6,Byron,democrat,70.836965
1976,MD,6,Bond,republican,29.163035
1976,MD,7,Mitchell,democrat,94.393489
1976,MD,7,Salisbury,independent,5.606511
1976,MD,8,Davis,democrat,42.222662
1976,MD,8,Steers,republican,46.822244
1976,MD,8,Ficker,independent,10.955094
1976,MA,1,McColgan,democrat,36.222913
1976,MA,1,Conte,republican,63.777087
1976,MA,2,Boland,democrat,72.357675
1976,MA,2,McCarthy,u.s. labor,5.262846
1976,MA,2,Swank,republican,22.375172
1976,MA,3,Early,democrat,99.971525
1976,MA,4,Mason,republican,47.924321
1976,MA,4,Drinan,democrat,52.073296
1976,MA,5,Durkin,republican,32.688457
1976,MA,5,Tsongas,democrat,67.308401
1976,MA,6,Harrington,democrat,54.805551
1976,MA,6,McGowan,independent,3.872303
1976,MA,6,Bronson,republican,41.320842
1976,MA,7,Markey,democrat,76.914246
1976,MA,7,Chickles,independent,2.252500
1976,MA,7,Daly,republican,17.583069
1976,MA,7,Murphy,independent,3.249861
1976,MA,8,ONeil,democrat,74.437238
1976,MA,8,Kahian,american,2.248812
1976,MA,8,Donato,independent,4.603299
1976,MA,8,Barnstead,republican,18.695555
1976,MA,9,Warren,socialist workers,2.047251
1976,MA,9,OLoughlin,independent,5.263405
1976,MA,9,Cunningham,republican,23.128318
1976,MA,9,Moakley,democrat,69.559017
1976,MA,10,Heckler,republican,100.000000
1976,MA,11,Benedictis,independent,31.010998
1976,MA,11,Burke,democrat,68.989002
1976,MA,12,Studds,democrat,100.000000
1976,MI,1,McGregor,american independent,0.532281
1976,MI,1,Nelson,u.s. labor,0.158147
1976,MI,1,Jones,libertarian,0.179379
1976,MI,1,Conyers,democrat,92.370151
1976,MI,1,Washington,socialist workers,0.224041
1976,MI,1,Hood,republican,6.536000
1976,MI,2,Pierce,democrat,49.574419
1976,MI,2,Pursell,republican,49.753831
1976,MI,2,McKenna,libertarian,0.210183
1976,MI,2,Carroll,human rights,0.311884
1976,MI,2,Ziegler,u.s. labor,0.149683
1976,MI,3,Brown,republican,50.587282
1976,MI,3,Walter,american independent,0.615830
1976,MI,3,Wolpe,democrat,48.563403
1976,MI,3,Todd,libertarian,0.170271
1976,MI,3,Stevens,u.s. labor,0.063214
1976,MI,4,Hilty,u.s. labor,0.068990
1976,MI,4,Friske,american independent,0.995343
1976,MI,4,Daugherty,democrat,38.753846
1976,MI,4,Stockman,republican,60.021587
1976,MI,4,Severance,libertarian,0.160234
1976,MI,5,Veen,democrat,46.229519
1976,MI,5,Berman,libertarian,0.232187
1976,MI,5,Powell,u.s. labor,0.194219
1976,MI,5,Sawyer,republican,53.344075
1976,MI,6,Carr,democrat,52.739414
1976,MI,6,Rotstein,u.s. labor,0.091524
1976,MI,6,McClure,human rights,0.676984
1976,MI,6,Taylor,republican,46.492078
1976,MI,7,Widgery,republican,28.325506
1976,MI,7,Sabin,american independent,0.817087
1976,MI,7,Hoffman,libertarian,0.413893
1976,MI,7,Kildee,democrat,69.973308
1976,MI,7,Dean,u.s. labor,0.470205
1976,MI,8,Denton,republican,40.359102
1976,MI,8,Thill,u.s. labor,0.111985
1976,MI,8,Johns,american independent,0.521347
1976,MI,8,Traxler,democrat,59.007566
1976,MI,9,Jagt,republican,69.962470
1976,MI,9,Hesselink,american independent,0.486884
1976,MI,9,Friesser,socialist labor,0.058655
1976,MI,9,Fawley,democrat,29.394710
1976,MI,9,Powell,u.s. labor,0.097281
1976,MI,10,Cederberg,republican,56.486697
1976,MI,10,Albosta,democrat,42.810109
1976,MI,10,Dean,american independent,0.597572
1976,MI,10,DUrso,u.s. labor,0.105622
1976,MI,11,Aho,human rights,0.106395
1976,MI,11,Pape,american independent,0.247334
1976,MI,11,Ruppe,republican,54.750248
1976,MI,11,Brouillette,democrat,44.826474
1976,MI,11,Hoffman,u.s. labor,0.069548
1976,MI,12,Serotkin,republican,47.176102
1976,MI,12,Bonior,democrat,52.422498
1976,MI,12,Kronberg,u.s. labor,0.157574
1976,MI,12,Clark,libertarian,0.243826
1976,MI,13,Diggs,democrat,89.005945
1976,MI,13,Brown,u.s. labor,0.304204
1976,MI,13,Houle,american independent,0.479255
1976,MI,13,Hawkins,socialist workers,0.390663
1976,MI,13,Dewaters,libertarian,0.211342
1976,MI,13,Golden,republican,9.608590
