date,region,candidate,party,voteshare,version
11/7/2000,Alleghany__VA,Gore,democrat,0.432168651180949,20191203
11/7/2000,Alleghany__VA,Bush,republican,0.548116338083154,20191203
11/7/2000,Alleghany__VA,Nader,green,0.0121022838180753,20191203
11/7/2000,Alleghany__VA,Other,NA,0.00761272691782159,20191203
11/7/2000,Allegheny__PA,Gore,democrat,0.566481480845629,20191203
11/7/2000,Allegheny__PA,Bush,republican,0.404068479839582,20191203
11/7/2000,Allegheny__PA,Nader,green,0.018155192127428,20191203
11/7/2000,Allegheny__PA,Other,NA,0.0112948471873616,20191203
11/7/2000,Allen__IN,Gore,democrat,0.364205738278516,20191203
11/7/2000,Allen__IN,Bush,republican,0.616042687193842,20191203
11/7/2000,Allen__IN,Nader,green,0.00486354093771868,20191203
11/7/2000,Allen__IN,Other,NA,0.014888033589923,20191203
11/7/2000,Allen__KS,Gore,democrat,0.369753728754769,20191203
11/7/2000,Allen__KS,Bush,republican,0.586021505376344,20191203
11/7/2000,Allen__KS,Nader,green,0.0284425945195976,20191203
11/7/2000,Allen__KS,Other,NA,0.0157821713492889,20191203
11/7/2000,Allen__KY,Gore,democrat,0.303313112459169,20191203
11/7/2000,Allen__KY,Bush,republican,0.686731995644735,20191203
11/7/2000,Allen__KY,Nader,green,0.00482190076217141,20191203
11/7/2000,Allen__KY,Other,NA,0.00513299113392441,20191203
11/7/2000,Allen__LA,Gore,democrat,0.472021225277376,20191203
11/7/2000,Allen__LA,Bush,republican,0.486613603473227,20191203
11/7/2000,Allen__LA,Nader,green,0.0138687891944042,20191203
11/7/2000,Allen__LA,Other,NA,0.0274963820549928,20191203
11/7/2000,Allen__OH,Gore,democrat,0.319579860714693,20191203
11/7/2000,Allen__OH,Bush,republican,0.654115766640027,20191203
11/7/2000,Allen__OH,Nader,green,0.017353579175705,20191203
11/7/2000,Allen__OH,Other,NA,0.00895079346957415,20191203
11/7/2000,Allendale__SC,Gore,democrat,0.7,20191203
11/7/2000,Allendale__SC,Bush,republican,0.289520958083832,20191203
11/7/2000,Allendale__SC,Nader,green,0.00508982035928144,20191203
11/7/2000,Allendale__SC,Other,NA,0.00538922155688623,20191203
11/7/2000,Alpena__MI,Gore,democrat,0.499080101896405,20191203
11/7/2000,Alpena__MI,Bush,republican,0.478983866402491,20191203
11/7/2000,Alpena__MI,Nader,green,0.018539484857062,20191203
11/7/2000,Alpena__MI,Other,NA,0.00339654684404189,20191203
11/7/2000,Alpine__CA,Gore,democrat,0.45221843003413,20191203
11/7/2000,Alpine__CA,Bush,republican,0.479522184300341,20191203
11/7/2000,Alpine__CA,Nader,green,0.0426621160409556,20191203
11/7/2000,Alpine__CA,Other,NA,0.0255972696245734,20191203
11/7/2000,Amador__CA,Gore,democrat,0.381919296430419,20191203
11/7/2000,Amador__CA,Bush,republican,0.566864976720124,20191203
11/7/2000,Amador__CA,Nader,green,0.0377651319192964,20191203
11/7/2000,Amador__CA,Other,NA,0.0134505949301604,20191203
11/7/2000,Amelia__VA,Gore,democrat,0.366332497911445,20191203
11/7/2000,Amelia__VA,Bush,republican,0.615497076023392,20191203
11/7/2000,Amelia__VA,Nader,green,0.00835421888053467,20191203
11/7/2000,Amelia__VA,Other,NA,0.00981620718462824,20191203
11/7/2000,Amherst__VA,Gore,democrat,0.410860655737705,20191203
11/7/2000,Amherst__VA,Bush,republican,0.568647540983607,20191203
11/7/2000,Amherst__VA,Nader,green,0.0115266393442623,20191203
11/7/2000,Amherst__VA,Other,NA,0.00896516393442623,20191203
11/7/2000,Amite__MS,Gore,democrat,0.417134831460674,20191203
11/7/2000,Amite__MS,Bush,republican,0.573813982521848,20191203
11/7/2000,Amite__MS,Nader,green,0.00436953807740325,20191203
11/7/2000,Amite__MS,Other,NA,0.00468164794007491,20191203
11/7/2000,Anderson__KS,Gore,democrat,0.381541115583669,20191203
11/7/2000,Anderson__KS,Bush,republican,0.570442783208741,20191203
11/7/2000,Anderson__KS,Nader,green,0.027027027027027,20191203
11/7/2000,Anderson__KS,Other,NA,0.0209890741805635,20191203
11/7/2000,Anderson__KY,Gore,democrat,0.364252541734655,20191203
11/7/2000,Anderson__KY,Bush,republican,0.616166687586293,20191203
11/7/2000,Anderson__KY,Nader,green,0.0150621312915778,20191203
11/7/2000,Anderson__KY,Other,NA,0.00451863938747333,20191203
11/7/2000,Anderson__SC,Gore,democrat,0.345900742753304,20191203
11/7/2000,Anderson__SC,Bush,republican,0.632081297083679,20191203
11/7/2000,Anderson__SC,Nader,green,0.0137082973130326,20191203
11/7/2000,Anderson__SC,Other,NA,0.008309662849985,20191203
11/7/2000,Anderson__TN,Gore,democrat,0.471037909586852,20191203
11/7/2000,Anderson__TN,Bush,republican,0.510372146356718,20191203
11/7/2000,Anderson__TN,Nader,green,0.0109802286389381,20191203
11/7/2000,Anderson__TN,Other,NA,0.00760971541749192,20191203
11/7/2000,Anderson__TX,Gore,democrat,0.334283819628647,20191203
11/7/2000,Anderson__TX,Bush,republican,0.652188328912467,20191203
11/7/2000,Anderson__TX,Nader,green,0.00868700265251989,20191203
11/7/2000,Anderson__TX,Other,NA,0.00484084880636605,20191203
11/7/2000,Andrew__MO,Gore,democrat,0.384245257080011,20191203
11/7/2000,Andrew__MO,Bush,republican,0.585235083860324,20191203
11/7/2000,Andrew__MO,Nader,green,0.0175969205389057,20191203
11/7/2000,Andrew__MO,Other,NA,0.0129227385207589,20191203
11/7/2000,Andrews__TX,Gore,democrat,0.217693836978131,20191203
11/7/2000,Andrews__TX,Bush,republican,0.768141153081511,20191203
11/7/2000,Andrews__TX,Nader,green,0.00695825049701789,20191203
11/7/2000,Andrews__TX,Other,NA,0.00720675944333996,20191203
11/7/2000,Androscoggin__ME,Gore,democrat,0.533069347141842,20191203
11/7/2000,Androscoggin__ME,Bush,republican,0.405076657528683,20191203
11/7/2000,Androscoggin__ME,Nader,green,0.0484922327139811,20191203
11/7/2000,Androscoggin__ME,Other,NA,0.013361762615494,20191203
11/7/2000,Angelina__TX,Gore,democrat,0.369133239415734,20191203
11/7/2000,Angelina__TX,Bush,republican,0.617186920738489,20191203
11/7/2000,Angelina__TX,Nader,green,0.00908282049380885,20191203
11/7/2000,Angelina__TX,Other,NA,0.00459701935196856,20191203
11/7/2000,Anne_Arundel__MD,Gore,democrat,0.446652745730276,20191203
11/7/2000,Anne_Arundel__MD,Bush,republican,0.519338971478692,20191203
11/7/2000,Anne_Arundel__MD,Nader,green,0.0273750728855709,20191203
11/7/2000,Anne_Arundel__MD,Other,NA,0.00663320990546056,20191203
11/7/2000,Anoka__MN,Gore,democrat,0.467026967634718,20191203
11/7/2000,Anoka__MN,Bush,republican,0.475597277827756,20191203
11/7/2000,Anoka__MN,Nader,green,0.0454336316002719,20191203
11/7/2000,Anoka__MN,Other,NA,0.0119421229372541,20191203
11/7/2000,Anson__NC,Gore,democrat,0.600125234815279,20191203
11/7/2000,Anson__NC,Bush,republican,0.395867251095805,20191203
11/7/2000,Anson__NC,Nader,green,,20191203
11/7/2000,Anson__NC,Other,NA,0.00400751408891672,20191203
11/7/2000,Antelope__NE,Gore,democrat,0.201306413301663,20191203
11/7/2000,Antelope__NE,Bush,republican,0.760688836104513,20191203
11/7/2000,Antelope__NE,Nader,green,0.0249406175771971,20191203
11/7/2000,Antelope__NE,Other,NA,0.0130641330166271,20191203
