date,region,state_po,special,runoff,offyear,candidate,party,writein,voteshare,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Harris,socialist workers,FALSE,0.0007254322924825620,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Stone,federalist,FALSE,0.0008406556250779480,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Levin,socialist labor,FALSE,0.0008945991328473240,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Kolyer,middle class candidate,FALSE,0.0009252390452603290,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Gaynor,leadership by example,FALSE,0.0009532896693004040,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Rizzo,independent-honest-available,FALSE,0.00100809627319409,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Moyers,libertarian,FALSE,0.0010257897437424500,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Grabowski,the suffering majority,FALSE,0.0019402400874489000,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Gahres,down with lawyers,FALSE,0.0019527549812513900,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Florio,democratic,FALSE,0.49377815581388000,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Kean,republican,FALSE,0.4945536476815730,
11/03/1981,Virginia,VA,FALSE,FALSE,FALSE,Write-In,nonpartisan,TRUE,0.0006025576318921930,
11/03/1981,Virginia,VA,FALSE,FALSE,FALSE,Coleman,republican,FALSE,0.46416506700286000,
11/03/1981,Virginia,VA,FALSE,FALSE,FALSE,Robb,democratic,FALSE,0.5352323753652480,
11/02/1982,Tennessee,TN,FALSE,FALSE,FALSE,Tyree,democratic,FALSE,0.4044282796315280,
11/02/1982,Tennessee,TN,FALSE,FALSE,FALSE,Alexander,republican,FALSE,0.5955717203684720,
11/02/1982,Maryland,MD,FALSE,FALSE,FALSE,Rothenhoefer,independent,TRUE,0.00036255134315177400,
11/02/1982,Maryland,MD,FALSE,FALSE,FALSE,Pascal,republican,FALSE,0.379955563319636,
11/02/1982,Maryland,MD,FALSE,FALSE,FALSE,Hughes,democratic,FALSE,0.6196818853372120,
11/02/1982,Texas,TX,FALSE,FALSE,FALSE,Sims,independent,TRUE,4.70058672723529E-06,
11/02/1982,Texas,TX,FALSE,FALSE,FALSE,Others,other,TRUE,1.91157193574235E-05,
11/02/1982,Texas,TX,FALSE,FALSE,FALSE,Poteet,constitution,FALSE,0.002527348797010180,
11/02/1982,Texas,TX,FALSE,FALSE,FALSE,Hutzelman,libertarian,FALSE,0.005998888781297680,
11/02/1982,Texas,TX,FALSE,FALSE,FALSE,Clements,republican,FALSE,0.459384267010875,
11/02/1982,Texas,TX,FALSE,FALSE,FALSE,White,democratic,FALSE,0.5320656791047330,
11/02/1982,Arkansas,AR,FALSE,FALSE,FALSE,White,republican,FALSE,0.4528986471164290,
11/02/1982,Arkansas,AR,FALSE,FALSE,FALSE,Clinton,democratic,FALSE,0.5471013528835710,
11/02/1982,South Carolina,SC,FALSE,FALSE,FALSE,Others,other,TRUE,0.00027390041635840500,
11/02/1982,South Carolina,SC,FALSE,FALSE,FALSE,Workman,republican,FALSE,0.3018948252172970,
11/02/1982,South Carolina,SC,FALSE,FALSE,FALSE,Riley,democratic,FALSE,0.6978312743663450,
11/02/1982,Hawaii,HI,FALSE,FALSE,FALSE,Anderson,republican,FALSE,0.26136352704639700,
11/02/1982,Hawaii,HI,FALSE,FALSE,FALSE,Fasi,independent democrat,FALSE,0.2863624848887140,
11/02/1982,Hawaii,HI,FALSE,FALSE,FALSE,Ariyoshi,democratic,FALSE,0.45227398806489000,
11/02/1982,Alaska,AK,FALSE,FALSE,FALSE,Vogler,alaskan independence,FALSE,0.016599533057957300,
11/02/1982,Alaska,AK,FALSE,FALSE,FALSE,Randolph,libertarian,FALSE,0.1491494984221460,
11/02/1982,Alaska,AK,FALSE,FALSE,FALSE,Fink,republican,FALSE,0.3709418374939070,
11/02/1982,Alaska,AK,FALSE,FALSE,FALSE,Sheffield,democratic,FALSE,0.4613900505426280,
11/02/1982,Pennsylvania,PA,FALSE,FALSE,FALSE,Fuerle,libertarian,FALSE,0.0027828560648319700,
11/02/1982,Pennsylvania,PA,FALSE,FALSE,FALSE,Frissell,consumer,FALSE,0.00355620340473699,
11/02/1982,Pennsylvania,PA,FALSE,FALSE,FALSE,Zola,socialist workers,FALSE,0.00420604318421492,
