date,region,state_po,class,special,runoff,offyear,candidate,party,writein,voteshare,version
11/08/1960,New Hampshire,NH,2,FALSE,FALSE,FALSE,Bridges,republican,FALSE,0.6034568502321380,kachang
11/08/1960,New Jersey,NJ,2,FALSE,FALSE,FALSE,Ronis,socialist labor,FALSE,0.0013507954642697900,kachang
11/08/1960,New Jersey,NJ,2,FALSE,FALSE,FALSE,Grauer,socialist workers,FALSE,0.004422832384260960,kachang
11/08/1960,New Jersey,NJ,2,FALSE,FALSE,FALSE,Perry,conservative,FALSE,0.005162973716725540,kachang
11/08/1960,New Jersey,NJ,2,FALSE,FALSE,FALSE,Lord,democratic,FALSE,0.4321438276266390,kachang
11/08/1960,New Jersey,NJ,2,FALSE,FALSE,FALSE,Case,republican,FALSE,0.5569195708081050,kachang
11/08/1960,New Mexico,NM,2,FALSE,FALSE,FALSE,Cowles,republican,FALSE,0.3656517529470870,kachang
11/08/1960,New Mexico,NM,2,FALSE,FALSE,FALSE,Anderson,democratic,FALSE,0.6343482470529130,kachang
11/08/1960,North Carolina,NC,2,FALSE,FALSE,FALSE,Hayes,republican,FALSE,0.38557474535128200,kachang
11/08/1960,North Carolina,NC,2,FALSE,FALSE,FALSE,Jordan,democratic,FALSE,0.6144252546487180,kachang
11/08/1960,Oklahoma,OK,2,FALSE,FALSE,FALSE,Brown,independent,FALSE,0.005451863848000230,kachang
11/08/1960,Oklahoma,OK,2,FALSE,FALSE,FALSE,Crawford,republican,FALSE,0.4461042829462970,kachang
11/08/1960,Oklahoma,OK,2,FALSE,FALSE,FALSE,Kerr,democratic,FALSE,0.5484438532057030,kachang
11/08/1960,South Dakota,SD,2,FALSE,FALSE,FALSE,McGovern,democratic,FALSE,0.47557637783932800,kachang
11/08/1960,South Dakota,SD,2,FALSE,FALSE,FALSE,Mundt,republican,FALSE,0.5244236221606720,kachang
11/08/1960,Tennessee,TN,2,FALSE,FALSE,FALSE,Frazier,republican,FALSE,0.2824976795777500,kachang
11/08/1960,Tennessee,TN,2,FALSE,FALSE,FALSE,Kefauver,democratic,FALSE,0.7175023204222510,kachang
11/08/1960,Virginia,VA,2,FALSE,FALSE,FALSE,Robb,social democrat,FALSE,0.04308234272202290,kachang
11/08/1960,Virginia,VA,2,FALSE,FALSE,FALSE,Baker,independent democrat,FALSE,0.14270915437450700,kachang
