date,region,candidate,party,runoff,voteshare
2/9/2025,Dentone,Suom,liberal,FALSE,12.50
2/9/2025,Dentone,Borgor,independent,FALSE,0.00
2/9/2025,Emix,Geodore Roosevelt,alliance,FALSE,16.67
2/9/2025,Emix,Sonia Gandhi,labour,FALSE,33.33
2/9/2025,Emix,Suom,liberal,FALSE,50.00
2/9/2025,Emix,Borgor,independent,FALSE,0.00
2/9/2025,Garvor,Geodore Roosevelt,alliance,FALSE,27.27
2/9/2025,Garvor,Sonia Gandhi,labour,FALSE,18.18
2/9/2025,Garvor,Suom,liberal,FALSE,54.55
2/9/2025,Garvor,Borgor,independent,FALSE,0.00
2/9/2025,Quintin,Geodore Roosevelt,alliance,FALSE,28.57
2/9/2025,Quintin,Sonia Gandhi,labour,FALSE,71.43
2/9/2025,Quintin,Suom,liberal,FALSE,0.00
2/9/2025,Quintin,Borgor,independent,FALSE,0.00
2/9/2025,Trunoe,Geodore Roosevelt,alliance,FALSE,0.00
2/9/2025,Trunoe,Sonia Gandhi,labour,FALSE,80.00
2/9/2025,Trunoe,Suom,liberal,FALSE,0.00
2/9/2025,Trunoe,Borgor,independent,FALSE,20.00
2/9/2025,National Popular Vote,Geodore Roosevelt,alliance,FALSE,31.58
2/9/2025,National Popular Vote,Sonia Gandhi,labour,FALSE,35.53
2/9/2025,National Popular Vote,Suom,liberal,FALSE,30.26
2/9/2025,National Popular Vote,Borgor,independent,FALSE,2.63
2/9/2025,Alvana,Geodore Roosevelt,alliance,TRUE,50.01
2/9/2025,Alvana,Sonia Gandhi,labour,TRUE,49.99
2/9/2025,Brunix Islands,Geodore Roosevelt,alliance,TRUE,81.82
2/9/2025,Brunix Islands,Sonia Gandhi,labour,TRUE,18.18
2/9/2025,Dalminica,Geodore Roosevelt,alliance,TRUE,57.14
2/9/2025,Dalminica,Sonia Gandhi,labour,TRUE,42.86
2/9/2025,Dentone,Geodore Roosevelt,alliance,TRUE,62.50
2/9/2025,Dentone,Sonia Gandhi,labour,TRUE,37.50
2/9/2025,Emix,Geodore Roosevelt,alliance,TRUE,50.01
2/9/2025,Emix,Sonia Gandhi,labour,TRUE,49.99
2/9/2025,Garvor,Geodore Roosevelt,alliance,TRUE,70.00
2/9/2025,Garvor,Sonia Gandhi,labour,TRUE,30.00
2/9/2025,Quintin,Geodore Roosevelt,alliance,TRUE,28.57
2/9/2025,Quintin,Sonia Gandhi,labour,TRUE,71.43
2/9/2025,Trunoe,Geodore Roosevelt,alliance,TRUE,20.00
2/9/2025,Trunoe,Sonia Gandhi,labour,TRUE,80.00
2/9/2025,National Popular Vote,Geodore Roosevelt,alliance,TRUE,55.56
2/9/2025,National Popular Vote,Sonia Gandhi,labour,TRUE,44.44
4/6/2025,Alvana,Virt,liberal,FALSE,30.02
4/6/2025,Alvana,Plxto,labour,FALSE,29.99
4/6/2025,Alvana,bfdifann,labour,FALSE,29.99
4/6/2025,Alvana,Copperhead,alliance,FALSE,10.00
4/6/2025,Brunix Islands,Virt,liberal,FALSE,40.01
4/6/2025,Brunix Islands,Plxto,labour,FALSE,39.99
4/6/2025,Brunix Islands,bfdifann,labour,FALSE,10.00
4/6/2025,Brunix Islands,Copperhead,alliance,FALSE,10.00
4/6/2025,Dalminica,Virt,liberal,FALSE,40.01
4/6/2025,Dalminica,Plxto,labour,FALSE,10.00
4/6/2025,Dalminica,bfdifann,labour,FALSE,10.00
4/6/2025,Dalminica,Copperhead,alliance,FALSE,39.99
4/6/2025,Dentone,Virt,liberal,FALSE,44.44
4/6/2025,Dentone,Plxto,labour,FALSE,22.22
4/6/2025,Dentone,bfdifann,labour,FALSE,11.11
4/6/2025,Dentone,Copperhead,alliance,FALSE,22.22
4/6/2025,Emix,Virt,liberal,FALSE,50.00
4/6/2025,Emix,Plxto,labour,FALSE,0.00
4/6/2025,Emix,bfdifann,labour,FALSE,33.33
4/6/2025,Emix,Copperhead,alliance,FALSE,16.67
4/6/2025,Garvor,Virt,liberal,FALSE,66.67
4/6/2025,Garvor,Plxto,labour,FALSE,13.33
4/6/2025,Garvor,bfdifann,labour,FALSE,20.00
4/6/2025,Garvor,Copperhead,alliance,FALSE,0.00
4/6/2025,Quintin,Virt,liberal,FALSE,33.33
4/6/2025,Quintin,Plxto,labour,FALSE,25.00
4/6/2025,Quintin,bfdifann,labour,FALSE,0.00
4/6/2025,Quintin,Copperhead,alliance,FALSE,41.67
4/6/2025,Trunoe,Virt,liberal,FALSE,54.55
4/6/2025,Trunoe,Plxto,labour,FALSE,0.00
4/6/2025,Trunoe,bfdifann,labour,FALSE,45.45
4/6/2025,Trunoe,Copperhead,alliance,FALSE,0.00
4/6/2025,National Popular Vote,Virt,liberal,FALSE,46.07
4/6/2025,National Popular Vote,Plxto,labour,FALSE,16.85
4/6/2025,National Popular Vote,bfdifann,labour,FALSE,20.22
4/6/2025,National Popular Vote,Copperhead,alliance,FALSE,16.85
4/6/2025,Alvana,Virt,liberal,TRUE,30.00
4/6/2025,Alvana,Plxto,labour,TRUE,40.00
4/6/2025,Alvana,bfdifann,labour,TRUE,30.00
4/6/2025,Brunix Islands,Virt,liberal,TRUE,44.45
4/6/2025,Brunix Islands,Plxto,labour,TRUE,44.43
4/6/2025,Brunix Islands,bfdifann,labour,TRUE,11.11
4/6/2025,Dalminica,Virt,liberal,TRUE,40.01
4/6/2025,Dalminica,Plxto,labour,TRUE,20.00
4/6/2025,Dalminica,bfdifann,labour,TRUE,39.99
4/6/2025,Dentone,Virt,liberal,TRUE,62.50
4/6/2025,Dentone,Plxto,labour,TRUE,25.00
4/6/2025,Dentone,bfdifann,labour,TRUE,12.50
4/6/2025,Emix,Virt,liberal,TRUE,58.33
4/6/2025,Emix,Plxto,labour,TRUE,8.33
4/6/2025,Emix,bfdifann,labour,TRUE,33.33
4/6/2025,Garvor,Virt,liberal,TRUE,66.67
4/6/2025,Garvor,Plxto,labour,TRUE,13.33
4/6/2025,Garvor,bfdifann,labour,TRUE,20.00
4/6/2025,Quintin,Virt,liberal,TRUE,50.00
4/6/2025,Quintin,Plxto,labour,TRUE,41.67
4/6/2025,Quintin,bfdifann,labour,TRUE,8.33
4/6/2025,Trunoe,Virt,liberal,TRUE,54.55
4/6/2025,Trunoe,Plxto,labour,TRUE,0.00
4/6/2025,Trunoe,bfdifann,labour,TRUE,45.45
4/6/2025,National Popular Vote,Virt,liberal,TRUE,51.72
4/6/2025,National Popular Vote,Plxto,labour,TRUE,22.99
4/6/2025,National Popular Vote,bfdifann,labour,TRUE,25.29
